Date, Open, High, Low, Close, Volume
12/07/22, 464303, 467081, 460408, 461593, 2890
12/06/22, 467175, 469660, 462422, 464838, 2732
12/05/22, 475080, 476689, 466160, 468700, 4128
12/02/22, 472705, 477526, 470680, 477403, 2794
12/01/22, 481043, 483162, 472864, 477085, 2949
11/30/22, 476094, 480302, 466100, 480280, 3174
11/29/22, 471118, 475971, 468796, 475843, 2642
11/28/22, 474511, 478839, 471000, 472712, 4032
11/25/22, 480350, 481580, 476281, 478676, 2660
11/23/22, 476823, 477530, 473716, 477020, 2918
11/22/22, 470609, 477410, 469217, 476980, 2823
11/21/22, 467817, 471915, 464865, 468922, 3856
11/18/22, 469643, 469643, 465395, 468290, 2682
11/17/22, 460785, 465000, 459043, 463695, 2592
11/16/22, 470628, 471328, 463401, 465520, 2629
11/15/22, 474063, 474483, 464625, 468233, 2908
11/14/22, 471809, 472470, 464516, 466600, 4025
11/11/22, 460358, 471870, 456962, 469047, 3333
11/10/22, 448491, 458385, 444918, 457665, 3160
11/09/22, 441802, 444168, 434925, 435945, 2595
11/08/22, 440405, 445435, 436312, 442100, 2520
11/07/22, 439035, 442216, 434837, 438575, 3642
11/04/22, 434463, 437250, 426136, 432000, 2687
11/03/22, 432450, 434428, 428465, 428800, 2548
11/02/22, 439612, 449943, 437255, 438700, 2636
11/01/22, 450141, 452080, 441880, 443004, 2449
10/31/22, 449277, 450838, 444750, 445050, 3849
10/28/22, 441662, 451970, 440052, 451900, 2869
10/27/22, 438783, 468795, 415639, 437900, 2390
10/26/22, 438228, 440405, 434601, 435660, 2505
10/25/22, 436233, 437830, 432873, 436400, 2446
10/24/22, 428849, 437725, 427787, 432500, 3781
10/21/22, 413212, 428230, 410112, 427170, 2361
10/20/22, 421045, 423875, 413950, 413950, 2210
10/19/22, 427233, 430415, 419630, 421610, 2241
10/18/22, 427925, 431340, 423923, 428465, 2791
10/17/22, 420553, 421848, 416837, 419101, 3366
10/14/22, 419359, 421651, 412760, 412760, 3983
10/13/22, 394152, 417860, 393012, 415222, 2583
10/12/22, 404106, 405250, 399251, 399251, 2747
10/11/22, 401645, 409610, 400332, 402836, 2130
10/10/22, 407071, 408700, 401591, 403000, 3405
10/07/22, 413767, 415639, 403600, 406010, 2407
10/06/22, 422905, 422905, 415945, 416300, 2114
10/05/22, 419406, 423915, 416842, 420668, 2164
10/04/22, 419663, 425535, 417422, 424180, 2503
10/03/22, 409435, 414650, 405116, 413300, 3154
09/30/22, 406833, 413174, 404072, 406470, 2737
09/29/22, 409808, 412716, 401227, 406700, 2792
09/28/22, 404133, 414000, 400342, 410705, 2544
09/27/22, 402858, 404000, 395202, 401490, 2955
09/26/22, 401234, 404500, 397787, 399128, 3437
09/23/22, 403477, 404799, 399450, 404485, 3089
09/22/22, 408263, 409684, 405000, 405375, 2742
09/21/22, 423754, 423754, 407585, 407930, 2510
09/20/22, 419708, 419869, 414501, 419869, 2354
09/19/22, 411561, 421339, 410892, 421339, 3154
09/16/22, 415200, 416540, 411161, 414537, 2738
09/15/22, 418509, 423305, 415622, 417103, 2473
09/14/22, 419878, 421200, 414247, 420500, 2651
09/13/22, 427939, 428446, 417599, 418700, 2900
09/12/22, 432133, 434577, 429671, 433062, 3015
09/09/22, 428918, 431348, 426000, 429819, 2317
09/08/22, 420723, 426850, 416794, 426850, 2102
09/07/22, 417000, 423247, 412675, 422047, 2118
09/06/22, 419989, 420248, 414285, 416860, 3337
09/02/22, 429439, 429439, 415362, 417940, 2583
09/01/22, 421000, 424907, 416882, 424290, 2535
08/31/22, 431745, 433325, 421308, 421308, 2463
08/30/22, 436039, 436594, 428122, 429700, 2191
08/29/22, 435064, 435803, 429487, 433300, 3165
08/26/22, 448973, 450868, 435770, 436201, 2536
08/25/22, 444694, 448000, 440222, 448000, 2178
08/24/22, 436625, 442318, 435010, 442210, 2175
08/23/22, 436409, 438274, 432739, 435730, 2210
08/22/22, 444239, 444239, 432452, 433650, 3606
08/19/22, 457004, 457004, 446512, 447155, 2660
08/18/22, 458178, 458178, 453347, 457400, 2162
08/17/22, 459959, 461269, 454105, 457278, 2522
08/16/22, 459224, 463000, 456000, 461300, 2740
08/15/22, 450929, 456992, 446866, 455170, 3065
08/12/22, 448193, 453059, 446132, 452697, 2359
08/11/22, 448839, 448869, 444701, 445302, 2340
08/10/22, 445300, 446904, 441500, 442800, 2310
08/09/22, 441378, 447370, 438665, 440058, 2237
08/08/22, 445260, 450000, 439010, 439167, 3130
08/05/22, 438635, 443384, 436510, 439529, 2262
08/04/22, 444294, 445200, 440875, 442149, 2596
08/03/22, 443964, 444851, 437005, 443450, 2567
08/02/22, 445734, 445734, 438650, 439180, 2271
08/01/22, 451989, 451989, 443000, 444650, 3447
07/29/22, 446035, 453985, 443617, 451700, 2893
07/28/22, 436773, 442000, 430815, 442000, 2189
07/27/22, 431500, 437783, 429290, 436100, 1940
07/26/22, 431963, 433733, 427415, 428644, 1928
07/25/22, 432249, 434030, 428185, 432579, 2530
07/22/22, 434424, 434808, 425911, 429562, 1990
07/21/22, 432039, 432789, 423600, 430900, 2266
07/20/22, 425260, 430059, 425260, 429200, 2209
07/19/22, 421539, 426598, 417309, 425110, 2161
07/18/22, 423459, 423625, 412864, 414450, 2771
07/15/22, 416157, 420500, 414694, 418349, 1651
07/14/22, 412499, 413500, 407734, 412600, 1994
07/13/22, 413910, 420795, 411385, 417250, 1796
07/12/22, 415405, 423700, 415405, 416449, 1674
07/11/22, 420825, 422550, 417250, 417900, 2522
07/08/22, 421258, 424200, 418977, 421800, 2022
07/07/22, 416843, 419825, 415832, 419200, 1955
07/06/22, 415539, 416500, 409661, 414148, 1711
07/05/22, 414924, 414924, 407993, 413844, 2562
07/01/22, 407700, 417869, 407700, 415850, 1718
06/30/22, 407634, 412869, 403567, 408950, 1691
06/29/22, 415239, 415239, 410000, 411050, 1629
06/28/22, 421977, 423728, 411287, 412170, 1878
06/27/22, 423279, 424085, 416750, 417700, 2403
06/24/22, 405489, 419859, 402550, 417401, 2121
06/23/22, 406413, 408500, 396500, 402300, 2570
06/22/22, 402568, 410483, 400741, 405649, 1871
06/21/22, 412749, 412749, 405700, 407800, 2709
06/17/22, 406209, 406209, 399022, 403150, 2233
06/16/22, 413375, 413375, 400669, 403971, 2813
06/15/22, 423688, 426715, 411427, 418600, 2191
06/14/22, 421651, 428220, 414200, 415500, 2308
06/13/22, 432489, 433869, 422438, 423700, 3205
06/10/22, 448000, 448500, 439005, 439780, 2682
06/09/22, 464275, 464275, 451757, 452260, 2025
06/08/22, 472090, 472090, 462301, 463300, 2059
06/07/22, 467650, 471500, 464551, 471500, 1808
06/06/22, 472900, 473900, 467632, 468400, 2003
06/03/22, 469925, 471789, 465850, 467650, 1949
06/02/22, 472134, 472886, 463312, 472710, 2056
06/01/22, 476594, 476594, 464900, 469620, 2143
05/31/22, 477890, 479309, 472110, 474050, 2852
05/27/22, 472795, 478670, 470021, 478670, 1932
05/26/22, 465146, 471602, 464951, 468805, 1751
05/25/22, 462230, 466541, 459141, 462890, 1709
05/24/22, 465580, 465580, 455721, 463607, 1879
05/23/22, 462639, 469080, 459371, 464510, 2315
05/20/22, 462425, 462425, 448108, 456500, 2376
05/19/22, 457940, 459694, 452000, 456031, 3345
05/18/22, 471053, 473285, 458620, 461000, 2506
05/17/22, 470771, 478709, 468331, 471670, 2228
05/16/22, 465135, 468058, 461007, 464250, 1819
05/13/22, 466106, 469145, 462327, 465011, 2440
05/12/22, 460431, 464845, 454670, 461631, 2951
05/11/22, 474535, 476600, 466725, 468000, 2268
05/10/22, 478465, 478750, 466052, 469780, 2395
05/09/22, 477825, 478000, 468902, 471200, 3255
05/06/22, 482864, 483795, 475000, 479500, 2500
05/05/22, 487900, 493850, 476748, 481400, 2949
05/04/22, 486664, 494343, 477712, 494343, 2398
05/03/22, 480541, 487713, 478150, 481198, 2427
05/02/22, 485921, 492125, 470692, 478150, 4068
04/29/22, 495206, 500000, 484340, 484340, 3073
04/28/22, 497010, 502329, 494335, 499000, 2650
04/27/22, 498093, 502799, 495069, 496800, 2537
04/26/22, 506789, 507419, 497777, 497777, 2844
04/25/22, 501835, 509650, 495150, 506200, 4269
04/22/22, 515050, 517445, 504514, 505440, 3460
04/21/22, 524394, 526900, 515000, 515815, 3896
04/20/22, 525288, 526699, 521000, 522901, 4453
04/19/22, 522339, 524208, 519001, 523260, 4172
04/18/22, 516774, 521019, 514600, 519499, 3320
04/14/22, 519163, 521674, 516435, 516435, 1626
04/13/22, 524135, 525900, 517973, 519800, 2018
04/12/22, 529165, 531000, 522693, 524271, 2064
04/11/22, 528413, 531880, 524086, 527590, 2394
04/08/22, 524139, 531040, 520276, 529000, 2134
04/07/22, 519111, 521855, 513905, 519760, 1997
04/06/22, 511475, 520369, 510241, 517002, 2054
04/05/22, 520074, 524425, 516000, 516000, 2400
04/04/22, 529375, 532029, 516593, 518714, 4039
04/01/22, 530026, 533139, 523662, 527760, 2606
03/31/22, 538660, 540420, 528921, 528921, 2332
03/30/22, 531305, 537371, 527650, 536440, 2327
03/29/22, 544389, 544389, 528750, 532011, 3695
03/28/22, 540913, 544000, 533345, 539180, 3805
03/25/22, 531088, 538949, 529981, 538949, 2635
03/24/22, 528414, 528817, 523778, 528817, 2100
03/23/22, 523066, 528015, 519151, 521781, 2952
03/22/22, 526201, 532530, 523500, 525854, 3733
03/21/22, 517231, 526733, 515970, 525000, 3323
03/18/22, 515731, 520655, 508853, 512991, 3492
03/17/22, 505385, 518438, 503641, 518438, 2942
03/16/22, 502201, 506029, 497613, 504036, 2516
03/15/22, 498673, 501939, 494023, 498160, 2613
03/14/22, 493988, 500023, 491947, 493785, 2916
03/11/22, 490155, 497333, 488551, 489802, 1791
03/10/22, 484252, 490800, 482520, 487820, 1578
03/09/22, 491339, 491550, 484185, 488245, 1663
03/08/22, 486690, 491500, 476921, 478025, 2048
03/07/22, 491039, 492059, 480888, 484527, 2358
03/04/22, 485375, 488298, 480341, 487440, 1971
03/03/22, 490798, 494420, 485855, 491245, 1917
03/02/22, 479175, 488765, 477091, 486109, 1616
03/01/22, 482000, 482151, 470645, 475879, 1818
02/28/22, 476700, 483638, 473930, 476205, 2427
02/25/22, 467598, 482579, 465326, 479345, 2163
02/24/22, 452928, 463490, 450000, 462110, 2750
02/23/22, 474975, 475989, 464400, 465515, 1711
02/22/22, 470733, 473460, 466257, 471418, 2391
02/18/22, 471528, 473920, 469091, 472257, 1533
02/17/22, 474829, 474829, 469182, 470655, 1430
02/16/22, 472983, 475780, 471401, 474444, 1285
02/15/22, 475390, 476980, 472456, 473980, 1506
02/14/22, 479208, 481054, 468563, 472410, 2180
02/11/22, 481068, 484850, 476886, 479370, 1625
02/10/22, 481000, 483726, 478000, 480105, 1770
02/09/22, 485650, 488400, 482502, 483900, 1829
02/08/22, 477670, 484200, 474112, 482030, 1663
02/07/22, 474100, 477350, 468253, 474900, 1960
02/04/22, 471990, 476888, 469101, 473364, 2007
02/03/22, 478840, 481029, 472082, 472536, 1589
02/02/22, 470620, 480400, 469001, 479500, 1882
02/01/22, 469465, 471888, 465460, 471184, 1931
01/31/22, 467665, 470739, 462151, 469805, 2576
01/28/22, 462560, 469880, 456281, 469880, 1999
01/27/22, 469000, 473900, 458201, 461200, 1923
01/26/22, 466162, 470770, 460206, 463652, 1978
01/25/22, 453012, 464728, 443402, 461919, 2058
01/24/22, 449333, 458000, 445000, 456901, 3722
01/21/22, 465040, 466989, 456623, 458675, 2327
01/20/22, 473973, 476625, 466602, 467390, 1770
01/19/22, 483000, 484850, 472560, 473440, 1778
01/18/22, 484930, 487255, 477585, 480081, 2750
01/14/22, 480280, 486999, 476336, 485379, 2013
01/13/22, 482058, 485800, 481166, 483872, 1821
01/12/22, 481190, 483250, 477094, 481700, 1732
01/11/22, 479353, 480935, 473185, 480340, 1697
01/10/22, 483800, 483800, 473373, 477165, 2641
01/07/22, 474696, 480888, 472610, 480000, 2433
01/06/22, 470900, 473545, 467236, 473153, 1867
01/05/22, 468500, 474181, 466050, 467274, 2195
01/04/22, 458675, 466195, 452376, 465725, 2293
01/03/22, 452005, 454800, 451020, 454300, 2737
12/31/21, 449945, 455910, 449945, 450662, 1450
12/30/21, 453728, 455000, 452545, 452700, 1555
12/29/21, 452370, 453499, 450655, 452102, 1423
12/28/21, 447562, 452244, 446405, 449570, 1484
