Date, Open, High, Low, Close
05/26/22, 1541.15, 1541.15, 1541.15, 1541.15
05/25/22, 1535.56, 1535.56, 1535.56, 1535.56
05/24/22, 1531.30, 1531.30, 1531.30, 1531.30
05/23/22, 1542.53, 1542.53, 1542.53, 1542.53
05/20/22, 1549.12, 1549.12, 1549.12, 1549.12
05/19/22, 1549.41, 1549.41, 1549.41, 1549.41
05/18/22, 1554.91, 1554.91, 1554.91, 1554.91
05/17/22, 1548.60, 1548.60, 1548.60, 1548.60
05/13/22, 1544.41, 1544.41, 1544.41, 1544.41
05/12/22, 1538.80, 1538.80, 1538.80, 1538.80
05/11/22, 1555.93, 1555.93, 1555.93, 1555.93
05/10/22, 1554.58, 1554.58, 1554.58, 1554.58
05/09/22, 1549.18, 1549.18, 1549.18, 1549.18
05/06/22, 1564.34, 1564.34, 1564.34, 1564.34
05/05/22, 1582.98, 1582.98, 1582.98, 1582.98
04/29/22, 1600.43, 1600.43, 1600.43, 1600.43
04/28/22, 1597.31, 1597.31, 1597.31, 1597.31
04/27/22, 1585.98, 1585.98, 1585.98, 1585.98
04/26/22, 1596.68, 1596.68, 1596.68, 1596.68
04/25/22, 1589.98, 1589.98, 1589.98, 1589.98
04/22/22, 1601.97, 1601.97, 1601.97, 1601.97
04/21/22, 1598.32, 1598.32, 1598.32, 1598.32
04/20/22, 1593.75, 1593.75, 1593.75, 1593.75
04/18/22, 1581.14, 1581.14, 1581.14, 1581.14
04/15/22, 1589.01, 1589.01, 1589.01, 1589.01
04/14/22, 1595.70, 1595.70, 1595.70, 1595.70
04/13/22, 1597.18, 1597.18, 1597.18, 1597.18
04/12/22, 1597.13, 1597.13, 1597.13, 1597.13
04/11/22, 1604.61, 1604.61, 1604.61, 1604.61
04/08/22, 1607.29, 1607.29, 1607.29, 1607.29
04/07/22, 1600.79, 1600.79, 1600.79, 1600.79
04/06/22, 1604.72, 1604.72, 1604.72, 1604.72
04/05/22, 1596.79, 1596.79, 1596.79, 1596.79
04/04/22, 1598.92, 1598.92, 1598.92, 1598.92
04/01/22, 1602.41, 1602.41, 1602.41, 1602.41
03/31/22, 1587.36, 1587.36, 1587.36, 1587.36
03/30/22, 1583.22, 1583.22, 1583.22, 1583.22
03/29/22, 1583.42, 1583.42, 1583.42, 1583.42
03/28/22, 1597.95, 1597.95, 1597.95, 1597.95
03/25/22, 1603.30, 1603.30, 1603.30, 1603.30
03/24/22, 1598.97, 1598.97, 1598.97, 1598.97
03/23/22, 1597.88, 1597.88, 1597.88, 1597.88
03/22/22, 1585.81, 1585.81, 1585.81, 1585.81
03/21/22, 1587.16, 1587.16, 1587.16, 1587.16
03/18/22, 1591.26, 1591.26, 1591.26, 1591.26
03/17/22, 1590.88, 1590.88, 1590.88, 1590.88
03/16/22, 1571.32, 1571.32, 1571.32, 1571.32
03/15/22, 1557.41, 1557.41, 1557.41, 1557.41
03/11/22, 1568.22, 1568.22, 1568.22, 1568.22
03/10/22, 1580.53, 1580.53, 1580.53, 1580.53
03/09/22, 1562.33, 1562.33, 1562.33, 1562.33
03/08/22, 1546.87, 1546.87, 1546.87, 1546.87
03/07/22, 1572.56, 1572.56, 1572.56, 1572.56
03/04/22, 1603.94, 1603.94, 1603.94, 1603.94
03/03/22, 1618.54, 1618.54, 1618.54, 1618.54
03/02/22, 1598.10, 1598.10, 1598.10, 1598.10
03/01/22, 1596.44, 1596.44, 1596.44, 1596.44
02/28/22, 1608.28, 1608.28, 1608.28, 1608.28
02/25/22, 1591.72, 1591.72, 1591.72, 1591.72
02/24/22, 1573.89, 1573.89, 1573.89, 1573.89
02/23/22, 1586.14, 1586.14, 1586.14, 1586.14
02/22/22, 1576.96, 1576.96, 1576.96, 1576.96
02/21/22, 1582.69, 1582.69, 1582.69, 1582.69
02/18/22, 1603.05, 1603.05, 1603.05, 1603.05
02/17/22, 1605.02, 1605.02, 1605.02, 1605.02
02/16/22, 1603.20, 1603.20, 1603.20, 1603.20
02/15/22, 1599.61, 1599.61, 1599.61, 1599.61
02/14/22, 1583.84, 1583.84, 1583.84, 1583.84
02/11/22, 1578.89, 1578.89, 1578.89, 1578.89
02/10/22, 1570.10, 1570.10, 1570.10, 1570.10
02/09/22, 1551.51, 1551.51, 1551.51, 1551.51
02/08/22, 1530.09, 1530.09, 1530.09, 1530.09
02/07/22, 1530.65, 1530.65, 1530.65, 1530.65
02/04/22, 1522.76, 1522.76, 1522.76, 1522.76
02/03/22, 1525.73, 1525.73, 1525.73, 1525.73
01/31/22, 1512.27, 1512.27, 1512.27, 1512.27
01/28/22, 1520.02, 1520.02, 1520.02, 1520.02
01/27/22, 1515.99, 1515.99, 1515.99, 1515.99
01/26/22, 1515.76, 1515.76, 1515.76, 1515.76
01/25/22, 1508.91, 1508.91, 1508.91, 1508.91
01/24/22, 1521.86, 1521.86, 1521.86, 1521.86
01/21/22, 1527.06, 1527.06, 1527.06, 1527.06
01/20/22, 1527.75, 1527.75, 1527.75, 1527.75
01/19/22, 1530.33, 1530.33, 1530.33, 1530.33
01/17/22, 1542.92, 1542.92, 1542.92, 1542.92
01/14/22, 1555.33, 1555.33, 1555.33, 1555.33
01/13/22, 1569.51, 1569.51, 1569.51, 1569.51
01/12/22, 1563.20, 1563.20, 1563.20, 1563.20
01/11/22, 1564.29, 1564.29, 1564.29, 1564.29
01/10/22, 1550.17, 1550.17, 1550.17, 1550.17
01/07/22, 1543.11, 1543.11, 1543.11, 1543.11
01/06/22, 1533.36, 1533.36, 1533.36, 1533.36
01/05/22, 1547.95, 1547.95, 1547.95, 1547.95
01/04/22, 1541.90, 1541.90, 1541.90, 1541.90
01/03/22, 1549.05, 1549.05, 1549.05, 1549.05
12/31/21, 1567.53, 1567.53, 1567.53, 1567.53
