Date, Open, High, Low, Close
04/11/22, 4.020, 4.055, 4.015, 4.050
04/08/22, 3.980, 4.020, 3.980, 4.020
04/07/22, 4.015, 4.030, 3.980, 3.980
04/06/22, 3.950, 4.025, 3.950, 4.015
04/05/22, 3.940, 3.955, 3.940, 3.950
04/04/22, 3.885, 3.945, 3.885, 3.940
04/01/22, 3.880, 3.890, 3.880, 3.885
03/31/22, 3.925, 3.930, 3.880, 3.880
03/30/22, 3.965, 3.965, 3.925, 3.925
03/29/22, 3.995, 3.995, 3.960, 3.965
03/28/22, 3.870, 4.000, 3.870, 3.995
03/25/22, 3.805, 3.870, 3.805, 3.870
03/24/22, 3.795, 3.805, 3.780, 3.805
03/23/22, 3.770, 3.795, 3.760, 3.795
03/22/22, 3.715, 3.770, 3.710, 3.770
03/21/22, 3.710, 3.715, 3.705, 3.715
03/18/22, 3.715, 3.720, 3.710, 3.710
03/17/22, 3.705, 3.715, 3.700, 3.715
03/16/22, 3.705, 3.710, 3.700, 3.705
03/15/22, 3.695, 3.710, 3.695, 3.705
03/14/22, 3.690, 3.700, 3.690, 3.695
03/11/22, 3.685, 3.695, 3.685, 3.690
03/10/22, 3.695, 3.695, 3.680, 3.685
03/09/22, 3.680, 3.695, 3.680, 3.695
03/08/22, 3.675, 3.680, 3.670, 3.680
03/07/22, 3.675, 3.680, 3.670, 3.675
03/04/22, 3.685, 3.685, 3.675, 3.675
03/03/22, 3.680, 3.685, 3.680, 3.685
03/02/22, 3.685, 3.685, 3.680, 3.680
03/01/22, 3.680, 3.690, 3.680, 3.685
02/28/22, 3.685, 3.685, 3.680, 3.680
02/25/22, 3.680, 3.690, 3.670, 3.685
02/24/22, 3.685, 3.685, 3.680, 3.680
02/23/22, 3.675, 3.685, 3.675, 3.685
02/22/22, 3.680, 3.685, 3.675, 3.675
02/21/22, 3.675, 3.680, 3.670, 3.680
02/18/22, 3.680, 3.680, 3.670, 3.675
02/17/22, 3.690, 3.690, 3.675, 3.680
02/16/22, 3.705, 3.710, 3.690, 3.690
02/15/22, 3.715, 3.715, 3.700, 3.705
02/14/22, 3.740, 3.740, 3.710, 3.715
02/11/22, 3.700, 3.740, 3.690, 3.740
02/10/22, 3.720, 3.720, 3.700, 3.700
02/09/22, 3.715, 3.735, 3.715, 3.720
02/08/22, 3.710, 3.740, 3.710, 3.715
02/07/22, 3.685, 3.710, 3.680, 3.710
02/04/22, 3.690, 3.690, 3.675, 3.685
02/03/22, 3.695, 3.695, 3.685, 3.690
02/01/22, 3.690, 3.690, 3.690, 3.690
01/31/22, 3.705, 3.705, 3.690, 3.690
01/28/22, 3.735, 3.735, 3.695, 3.705
01/27/22, 3.695, 3.735, 3.695, 3.735
01/26/22, 3.710, 3.715, 3.695, 3.695
01/25/22, 3.700, 3.710, 3.700, 3.710
01/24/22, 3.700, 3.710, 3.700, 3.700
